Species	Status	min_age	max_age
Drepanodon	extinct	3.6	11.608
Lynx	extinct	0.0117	0.781
Panthera_pardus	extant	0.0117	0.781
Panthera_tigris	extant	0.0117	0.781
Panthera_leo	extant	0	0.126
Vinayakia	extinct	5.333	11.608
Megantereon	extinct	5.333	11.608
Felidae	extinct	5.333	11.608
Leopardus_vorohuensis	extinct	1.2	3
Panthera_tigris	extant	0	0.0117
Felidae	extinct	30.8	33.3
Felidae	extinct	20.43	30.8
Felidae	extinct	13.6	15.97
Felidae	extinct	15.97	20.43
Amphimachairodus_coloradensis	extinct	4.9	10.3
Nimravides_thinobates	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus	extinct	10.3	13.6
Pseudaelurus	extinct	10.3	13.6
Nimravides_thinobates	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Nimravides	extinct	4.9	10.3
Felidae	extinct	4.9	10.3
Felidae	extinct	10.3	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Lynx_proterolyncis	extinct	4.9	10.3
Nimravides_hibbardi	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Adelphailurus_kansensis	extinct	4.9	10.3
Felidae	extinct	4.9	10.3
Pseudaelurus_intrepidus	extinct	13.6	15.97
Pseudaelurus	extinct	13.6	15.97
Adelphailurus_kansensis	extinct	4.9	10.3
Nimravides_galiani	extinct	4.9	13.6
Nimravides_thinobates	extinct	4.9	13.6
Machairodus	extinct	4.9	13.6
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus	extinct	13.6	15.97
Pseudaelurus_marshi	extinct	13.6	15.97
Nimravides	extinct	10.3	13.6
Pseudaelurus_stouti	extinct	13.6	15.97
Nimravides	extinct	4.9	10.3
Felidae	extinct	10.3	13.6
Pratifelis_martini	extinct	4.9	10.3
Pseudaelurus	extinct	13.6	15.97
Nimravides_thinobates	extinct	4.9	10.3
Pseudaelurus_marshi	extinct	5.333	23.03
Felidae	extinct	13.6	15.97
Nimravides_pedionomus	extinct	10.3	13.6
Nimravides_galiani	extinct	4.9	13.6
Nimravides	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Lynx_proterolyncis	extinct	4.9	10.3
Adelphailurus	extinct	4.9	10.3
Felidae	extinct	5.333	23.03
Felidae	extinct	4.9	13.6
Nimravides_thinobates	extinct	5.333	23.03
Amphimachairodus_coloradensis	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Felidae	extinct	10.3	13.6
Pseudaelurus_intrepidus	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Pseudaelurus_marshi	extinct	13.6	15.97
Pseudaelurus_intrepidus	extinct	13.6	15.97
Pseudaelurus	extinct	13.6	15.97
Felinae	extinct	10.3	13.6
Pseudaelurus	extinct	10.3	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Nimravides_galiani	extinct	10.3	13.6
Felidae	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	5.333	23.03
Machairodus	extinct	4.9	10.3
Felidae	extinct	13.6	15.97
