Species	Status
Acinonyx	extinct
Acinonyx_aicha	extinct
Acinonyx_jubatus	extant
Adelphailurus	extinct
Adelphailurus_kansensis	extinct
Amphimachairodus	extinct
Amphimachairodus_coloradensis	extinct
Amphimachairodus_giganteus	extinct
Caracal	extinct
Caracal_caracal	extinct
Caracal_serval	extinct
Diamantofelis_ferox	extinct
Diamantofelis_minor	extinct
Dinofelis	extinct
Dinofelis_palaeoonca	extinct
Drepanodon	extinct
Epimachairodus	extinct
Felidae	extinct
Felinae	extinct
Felis	extinct
Felis_domesticus	extinct
Felis_lacustris	extinct
Felis_libyca	extant
Felis_nigripes	extinct
Felis_obscura	extinct
Felis_platensis	extinct
Felis_prisca	extinct
Felis_rexroadensis	extinct
Felis_silvestris	extant
Felis_youngi	extinct
Herpailurus	extinct
Homotherium	extinct
Homotherium_crusafonti	extinct
Homotherium_idahoensis	extinct
Homotherium_johnstoni	extinct
Homotherium_serum	extinct
Homotherium_venezuelensis	extinct
Leopardus	extinct
Leopardus_braccatus	extinct
Leopardus_pardalis	extinct
Leopardus_tigrinus	extinct
Leopardus_vorohuensis	extinct
Leopardus_wiedii	extinct
Lynx	extinct
Lynx_canadensis	extinct
Lynx_longignathus	extinct
Lynx_lynx	extinct
Lynx_pardinus	extinct
Lynx_proterolyncis	extinct
Lynx_rufus	extant
Machairodontinae	extinct
Machairodus	extinct
Machairodus_catocopis	extinct
Machairodus_irtyschensis	extinct
Machairodus_ischimicus	extinct
Machairodus_kabir	extinct
Machairodus_kurteni	extinct
Megantereon	extinct
Megantereon_cultridens	extinct
Megantereon_eurynodon	extinct
Megantereon_hesperus	extinct
Megantereon_megantereon	extinct
Megantereon_nihowanensis	extinct
Megantereon_whitei	extinct
Metailurus	extinct
Miomachairodus	extinct
Miracinonyx	extinct
Miracinonyx_inexpectatus	extinct
Miracinonyx_studeri	extinct
Neofelis_nebulosa	extinct
Nimravides	extinct
Nimravides_galiani	extinct
Nimravides_hibbardi	extinct
Nimravides_pedionomus	extinct
Nimravides_thinobates	extinct
Panthera	extinct
Panthera_blytheae	extinct
Panthera_gombaszoegensis	extinct
Panthera_leo	extant
Panthera_leo_atrox	extinct
Panthera_onca	extant
Panthera_pardus	extant
Panthera_tigris	extant
Paramachaerodus	extinct
Pratifelis_martini	extinct
Prionailurus_bengalensis	extinct
Pseudaelurus	extinct
Pseudaelurus_aeluroides	extinct
Pseudaelurus_africanus	extinct
Pseudaelurus_intrepidus	extinct
Pseudaelurus_lorteti	extinct
Pseudaelurus_marshi	extinct
Pseudaelurus_quadridentatus	extinct
Pseudaelurus_romieviensis	extinct
Pseudaelurus_stouti	extinct
Pseudaelurus_turnauensis	extinct
Pseudaelurus_validus	extinct
Puma	extinct
Puma_concolor	extinct
Puma_yagouaroundi	extinct
Smilodon	extinct
Smilodon_fatalis	extinct
Smilodon_gracilis	extinct
Smilodon_populator	extinct
Smilodon_riggii	extinct
Therailurus	extinct
Uncia_mercerii	extinct
Uncia_spelea	extinct
Vinayakia	extinct
Viretailurus	extinct
Vishnufelis	extinct
Xenosmilus_hodsonae	extinct
