it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	
0	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.2413958341714833	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.1225036595363868	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651	0.11889217463509651
1000	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.17122117740414505	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.14214557863009411	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943	0.029075598774050943
2000	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.20013687102838065	0.46482834891257363	0.46482834891257363	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	0.092613087613030123	-0.264691477884193	-0.264691477884193	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053	0.10752378341535053
3000	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.19166537932426142	0.86771598798643679	0.86771598798643679	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	0.10847398363715624	-0.67605060866217537	-0.67605060866217537	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518	0.08319139568710518
4000	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.21850134527224946	0.91870237903858643	0.91870237903858643	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	0.093046139916955373	-0.70020103376633691	-0.70020103376633691	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409	0.12545520535529409
5000	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.19464459970008743	0.7968029573629809	0.7968029573629809	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	0.10600053278953821	-0.6021583576628935	-0.6021583576628935	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227	0.088644066910549227
6000	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.23239678987184129	0.73915638836104214	0.73915638836104214	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	0.098889843004933017	-0.50675959848920082	-0.50675959848920082	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828	0.13350694686690828
7000	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.17839067050265778	0.86136881415973965	0.86136881415973965	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	0.095388822571231421	-0.68297814365708187	-0.68297814365708187	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356	0.083001847931426356
8000	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.20308567241306097	0.82833292847470319	0.82833292847470319	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	0.084230790667654765	-0.62524725606164222	-0.62524725606164222	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062	0.1188548817454062
9000	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.23866013703415162	0.98827515899246365	0.98827515899246365	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	0.13013647086577498	-0.74961502195831198	-0.74961502195831198	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664	0.10852366616837664
