"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"11803","col","","35.049999","32.716667","Tabun Cave Level C & D","","","1","Late Pleistocene","","0.126","0.0117","10604"
"13066","col","","-84.800003","34.200001","Ladd's Quarry","","Ladd's Lime Kiln","1","Pleistocene","","2.588","0.0117","10272"
"13293","col","","111.566666","22.766666","Xiashan Cave, lower part (Guangdong Province)","","","2","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"13456","col","Babladanga","87.000000","23.500000","Bankura","","","1","Late Pleistocene","Holocene","0.126","0","6077"
"13738","col","","116.150002","-8.633300","Wajak Cave Mammal Fauna","","","1","Holocene","","0.0117","0","6145"
"20166","col","Kingsdown","-100.477097","37.044701","Butler Spring (KU Locality 7)","","Cragin Quarry, in part","1","Irvingtonian","","1.8","0.3","3081"
"20283","col","Tacubaya","-102.300003","21.799999","Cedazo","","Arroyo Cedazo; Arroyo San Francisco","2","Irvingtonian","","1.8","0.3","2607"
"20285","col","""Chapala shorelake"" Beds","-103.199997","20.299999","Chapala","","","1","Irvingtonian","","1.8","0.3","1482"
"20286","col","","-79.300003","38.700001","Cheetah Room","","","1","Irvingtonian","","1.8","0.3","2875"
"20289","col","","-82.070274","28.799168","Coleman IIA","","","1","Irvingtonian","","1.8","0.3","2436"
"20290","col","","-93.199997","36.000000","Conard Fissure","","","1","Irvingtonian","","1.8","0.3","1628"
"20295","col","Kingsdown","-100.300003","37.200001","Cragin Quarry Locality 1","","Big Springs Loc. 1; KU Locality 6; USGS 21274","1","Irvingtonian","","1.8","0.3","1907"
"20302","col","","-78.699997","39.599998","Cumberland Cave","","","3","Irvingtonian","","1.8","0.3","39868"
"20307","col","","-118.500000","47.000000","Delight","","","1","Irvingtonian","","1.8","0.3","1558"
"20322","col","","-114.500000","31.700001","El Golfo de Santa Clara","","","1","Blancan","","4.9","1.8","2245"
"20335","col","","-117.000000","34.799999","Fort Irwin","","Artillery Range Number 10; SBCM 1.152.2<br>DUPLICATE REF 2018 or 2019","1","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"20347","col","","-102.500000","42.700001","Gordon Fossil Quarry (UNSM Sd-5)","","Gordon Quarry West; UNSM Sh-5","1","Irvingtonian","","1.8","0.3","1916"
"20354","col","","-77.199997","39.799999","Hanover Quarry No. 1 Fissure","","","1","Irvingtonian","","1.8","0.3","1727"
"20415","col","","-82.599998","29.400000","McLeod Limerock Mine","","","1","Irvingtonian","","1.8","0.3","2615"
"20479","col","","-75.300003","40.200001","Port Kennedy Cave","","","1","Irvingtonian","","1.8","0.3","1628"
"20491","col","","-82.300003","29.100000","Reddick IA","","","1","Rancholabrean","","0.3","0.012","3580"
"20499","col","","-117.500000","43.599998","Rome Beds","","","1","Irvingtonian","","1.8","0.3","2499"
"20520","col","","-82.599998","29.700001","Santa Fe River IIA","","","2","Irvingtonian","","1.8","0.3","3567"
"20533","col","Good Creek","-99.800003","34.000000","Smith Ranch (Good Creek)","","","1","Irvingtonian","","1.8","0.3","1302"
"20569","col","American Falls Lake Bed E","-112.900002","42.799999","American Falls Reservoir","","","1","Late Pleistocene","","0.126","0.0117","1936"
"20573","col","Wicomico","-82.416664","29.600000","Arredondo IIA","","","1","Late Pleistocene","","0.126","0.0117","3580"
"20576","col","","-110.199997","50.900002","Bindloss","","","1","Late Pleistocene","","0.126","0.0117","1785"
"20593","col","","-82.099998","29.799999","Haile VIIA","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20600","col","","-86.500000","39.000000","Harrodsburg Crevice","","","1","Late Pleistocene","","0.126","0.0117","2727"
"20608","col","","-82.300003","29.100000","Kendrick IA","","","1","Late Pleistocene","","0.126","0.0117","3567"
"20615","col","","-110.699997","50.099998","Medicine Hat Unit XIII","","","1","Late Pleistocene","","0.126","0.0117","1200"
"20639","col","San Pedro Sand","-118.000000","34.000000","San Pedro Lumber Yard [San Pedro Sand]","","San Pedro Lumber Company, Hill number 48), San Pedro: LACM 1026, 1057 (? = LACM 187); (? UCMP 2047)","1","Late Pleistocene","","0.126","0.0117","2018"
"20647","col","","-82.599998","29.400000","Waccasassa River VI","","","1","Late Pleistocene","","0.126","0.0117","3567"
"21276","col","","36.167000","-1.767000","Lainyamok - surface","","ETE Locality 72, Lainyamok - surface, ","2","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"21277","col","","36.167000","-1.767000","Lainyamok - excavation","","ETE Locality 73, Lainyamok - excavation, ","1","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"21442","col","Koobi Fora","36.275002","4.309000","East Turkana - Area 1 - General","","ETE Locality 255, Area 1 - General, ","1","Pliocene","Pleistocene","5.333","0.0117","4760"
"21451","col","Koobi Fora","36.242001","4.275000","East Turkana - Area 6 - General","","ETE Locality 265, Area 6 - General, ","1","Pliocene","Pleistocene","5.333","0.0117","4469"
"21687","col","","-60.000000","-2.500000","Manaus","","ETE Locality 505, Manaus, ","1","Holocene","","0.0117","0","4787"
"21689","col","","-71.366699","-11.900000","Cocha Cashu Biological Station","","ETE Locality 507, Cocha Cashu Biological Station, ","1","Holocene","","0.0117","0","4790"
"21690","col","","35.000000","-2.416700","Serengeti National Park","","ETE Locality 508, Serengeti National Park, ","2","Holocene","","0.0117","0","4792"
"21691","col","","-79.849998","9.150000","Barro Colorado Island","","ETE Locality 509, Barro Colorado Island, ","1","Holocene","","0.0117","0","4796"
"21693","col","","28.666700","-24.600000","Nylsrley Provincial Nature Res","","ETE Locality 511, Nylsrley Provincial Nature Res, ","2","Holocene","","0.0117","0","4805"
"21695","col","","19.366699","-34.533298","Die Kelders 1","","ETE Locality 513, Die Kelders 1, ","2","Pleistocene","","2.588","0.0117","4808"
"21709","col","","18.433300","-33.666698","Melkbos","","ETE Locality 527, Melkbos, ","2","Late Pleistocene","","0.126","0.0117","37332"
"21711","col","","18.233299","-33.116699","Elandsfontein","","ETE Locality 529, Elandsfontein, ","1","Pleistocene","Holocene","2.588","0","4809"
"21755","col","USNO","36.166698","5.325000","USNO - Brown Sands","","ETE Locality 573, USNO - Brown Sands, ","1","Pliocene","","5.333","2.588","9358"
"21790","col","Vogel River Series","35.206902","-3.198600","Laetoli - Loc. 16","","ETE Locality 608, Laetoli - Loc. 16, ","1","Piacenzian","","3.6","2.588","4451"
"21791","col","Sterkfontein","27.733299","-26.016701","Sterkfontein - Member 4","","ETE Locality 609, Lower Breccia, Sterkfontein - Member 4, ","2","Pliocene","Calabrian","5.333","0.781","4867"
"21798","col","Vogel River Series","35.208302","-3.215300","Laetoli - Loc. 6","","ETE Locality 616, Laetoli - Loc. 6, ","1","Piacenzian","","3.6","2.588","4451"
"21802","col","Vogel River Series","35.216702","-3.201400","Laetoli - Loc. 4","","ETE Locality 620, Laetoli - Loc. 4, ","1","Piacenzian","","3.6","2.588","4451"
"21806","col","Vogel River Series","35.201401","-3.248600","Laetoli - Loc. 10E","","ETE Locality 624, Laetoli - Loc. 10E, ","1","Piacenzian","","3.6","2.588","4451"
"21807","col","Vogel River Series","35.183300","-3.240300","Laetoli - Loc. 9S","","ETE Locality 625, Laetoli - Loc. 9S, ","1","Piacenzian","","3.6","2.588","4451"
