"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=panthera&taxon_reso=species"
"Access Time","Fri 2017-02-03 19:34:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","panthera"
"","idreso","species"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0122"
"Records Found","291"
"Records Returned","291"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150060","occ","","","13293","Panthera pardus","species","72185","","Panthera pardus","species","104158","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150061","occ","","","13293","Panthera tigris","species","90651","","Panthera tigris","species","104157","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150891","occ","","","13456","Panthera cf. leo","species","49734","","Panthera leo","species","46521","Late Pleistocene","Holocene","0.126","0","6077"
"154618","occ","","","13738","Panthera tigris","species","90651","","Panthera tigris","species","104157","Holocene","","0.0117","0","6145"
"196214","occ","","","20166","Felis atrox","species","46509","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","3081"
"196737","occ","","","20283","Panthera atrox","species","49733","recombined as","Panthera leo atrox","subspecies","46509","Irvingtonian","","1.8","0.3","2607"
"196738","occ","","","20283","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","2607"
"196757","occ","9314","","20285","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6294"
"196782","occ","","","20286","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","3491"
"196823","occ","9335","","20289","Panthera onca","species","49735","","Panthera onca","species","46524","Irvingtonian","","1.8","0.3","6294"
